flight_time,distance_to_goal,success,collision,termination_reason,gui,walls,hole_width,hole_height,padding,run_id
10.616666666666385,0.0994244665832856,True,False,goal_reached,False,3,0.35,0.75,0.05,2
2.3208333333333435,5.842633584554604,False,True,collision,False,3,0.45,0.35,0.05,3
11.633333333332994,0.09827655411530455,True,False,goal_reached,False,3,0.45,0.35,0.05,4
3.0458333333333796,5.485564261873502,False,True,collision,False,3,0.45,0.35,0.03,1
9.69999999999977,1.5518769638160217,False,True,collision,False,3,0.45,0.35,0.07,0
7.874999999999873,1.3458533151663687,False,True,collision,False,3,0.45,0.35,0.07,2
10.416666666666396,0.12034827308965179,False,False,path_finished,False,3,0.45,0.35,0.07,1
8.12499999999986,1.3525318382179634,False,True,collision,False,3,0.45,0.35,0.05,2
2.4250000000000154,5.835480791958976,False,True,collision,False,3,0.45,0.35,0.07,3
6.6291666666666105,2.100832816113738,False,True,collision,False,3,0.45,0.45,0.03,0
1.883333333333328,5.39636558077771,False,True,collision,False,3,0.45,0.45,0.03,2
2.562500000000022,5.611978927011005,False,True,collision,False,3,0.45,0.45,0.03,3
6.679166666666608,3.2896894191127464,False,True,collision,False,3,0.45,0.35,0.05,1
6.620833333333278,2.048694040508351,False,True,collision,False,3,0.45,0.45,0.03,4
6.254166666666632,1.9514424490642663,False,True,collision,False,3,0.45,0.45,0.05,3
7.058333333333253,1.3515233458609026,False,True,collision,False,3,0.45,0.45,0.05,2
9.249999999999796,1.1805808999902165,False,True,collision,False,3,0.45,0.35,0.03,2
5.904166666666652,3.3842495159309993,False,True,collision,False,3,0.45,0.45,0.05,1
5.479166666666676,1.7262316783734193,False,True,collision,False,3,0.45,0.45,0.07,2
6.754166666666603,1.8038777146776621,False,True,collision,False,3,0.45,0.35,0.07,4
8.829166666666486,0.09705947717424815,True,False,goal_reached,False,3,0.45,0.45,0.07,3
1.895833333333328,5.266647834746628,False,True,collision,False,3,0.45,0.55,0.03,0
